"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-18",,"85",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-19",,"89",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-20",,"88",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-21",,"87",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-22",,"87",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-23",,"89",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-24",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-25",,"83","90","75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-26",,"85",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-27",,"88",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-28",,"87",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-29",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-30",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-31",,"83",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-01",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-02",,"83",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-03",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-04",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-05",,"84",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-06",,"84",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-07",,"86",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-08",,"88",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-09",,"87",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-10",,"87",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-11",,"88",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-12",,"88",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-13",,"84",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-14",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-15",,"86",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-16",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-17",,"84",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-18",,"86",,"76"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-19",,"87",,"77"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-20",,"86",,"79"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-21",,"84",,"78"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-22",,"83",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-04-23",,"84",,"79"
